"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"756","Tiny home","White Pigeon","US","Circle J Bed Breakfast",2,92,FALSE,2023-05-01,2023-05-06,5,528,4.97,"White Pigeon"
"757","Cabin","Cripple Creek","US","Hillside Cripple Creek Cabin wHot Tub, Mtn Views!",3,196,FALSE,2023-05-01,2023-05-06,5,72,4.93,"Cripple Creek"
"758","Cabin","Moab","US","Basic Cabin 1 - Sleeps 4 - OK-C1",3,125,FALSE,2023-05-06,2023-05-11,5,233,4.86,"Moab"
"759","Home","Petersburg","US","ONLY 1.5 Miles from the Creation Museum!",4,124,FALSE,2023-05-01,2023-05-06,5,170,4.89,"Petersburg"
"760","Home","Twentynine Palms","US","Blue Oasis King Bed Feel Far, Be Close Dogs ok",2,155,FALSE,2023-05-01,2023-05-06,5,258,4.94,"Twentynine Palms"
"761","Room","McKinney","US","Garden Gate Getaway",2,53,FALSE,2023-05-01,2023-05-06,5,110,4.88,"McKinney"
"762","Home","El Prado","US","Taos Skybox ""Stargazer"" High Desert Retreat",1,184,FALSE,2023-05-01,2023-05-06,5,61,4.93,"El Prado"
"763","Treehouse","Sevierville","US","The best in tiny living! TreehouseTopia",2,229,FALSE,2023-05-01,2023-05-06,5,193,4.87,"Sevierville"
"764","Home","Fort Myers","US","Unique Pyramid Home for an amazing vacation",1,231,FALSE,2023-05-01,2023-05-06,5,165,4.93,"Fort Myers"
"765","Cottage","Los Angeles","US","Private Modern Guesthouse near Mulholland Drive",2,151,FALSE,2023-05-01,2023-05-06,5,555,4.93,"Los Angeles"
"766","Home","Summertown","US","Water side Cozy cabin",4,98,FALSE,2023-05-01,2023-05-06,5,318,4.91,"Summertown"
"767","Cabin","Florissant","US","NEW! One-of-a-Kind Luxury Cabin wHot Tub",1,358,FALSE,2023-05-01,2023-05-06,5,49,5,"Florissant"
"768","Guesthouse","Escondido","US","Hilltop cabin retreat with lake mountain views",5,188,FALSE,2023-05-01,2023-05-06,5,551,4.93,"Escondido"
"769","Townhouse","Kissimmee","US","Brand New 3 beds at Solara Resort",2,155,FALSE,2023-05-01,2023-05-06,5,12,4.83,"Kissimmee"
"770","Cabin","Gold Bar","US","New lux cabin wmount index view",1,276,FALSE,2023-05-01,2023-05-06,5,7,4.86,"Gold Bar"
"771","Treehouse","Watsonville","US","Redwood Treehouse Santa Cruz Mtns.",2,190,FALSE,2023-05-05,2023-05-10,5,932,4.89,"Watsonville"
"772","Condo","Kissimmee","US","Mickey Mouse Themed Getaway next to Disney 1",4,115,FALSE,2023-05-01,2023-05-06,5,295,4.84,"Kissimmee"
"773","Home","Ellington","US","Crystal Lake House",4,155,FALSE,2023-05-01,2023-05-06,5,9,5,"Ellington"
"774","Home","Orlando","US","The Orlando Retreat.",4,230,FALSE,2023-05-01,2023-05-06,5,78,4.95,"Orlando"
"775","Farm stay","Lebec","US","The Alpaca A Lone Juniper Ranch Cabin",2,113,TRUE,2023-05-01,2023-05-06,5,381,4.92,"Lebec"
"776","Cabin","Newry","US","Cozy Cabin on Sunday River",2,202,FALSE,2023-05-01,2023-05-06,5,41,4.93,"Newry"
"777","Tiny home","Greer","US","BRAND NEW Tiny Village Retreat",2,90,FALSE,2023-05-01,2023-05-06,5,86,5,"Greer"
"778","Cabin","Pine Ridge","US","Cliffside Romantic Retreat LOVE",1,321,FALSE,2023-05-01,2023-05-06,5,25,5,"Pine Ridge"
"779","Tiny home","Greer","US","Modern Cabin Tiny Retreat",3,90,FALSE,2023-05-01,2023-05-06,5,558,4.98,"Greer"
"780","Cabin","Groton","US","Peaceful Log Cabin in the Woods",2,122,FALSE,2023-05-03,2023-05-08,5,497,4.99,"Groton"
"781","Cabin","Ellijay","US","Cozy Creek Cabin-couples retreat nestled in woods",1,184,FALSE,2023-05-01,2023-05-06,5,208,4.98,"Ellijay"
"782","Apartment","Orlando","US","Cozy Studio close to Universal",2,82,FALSE,2023-05-01,2023-05-06,5,148,4.2,"Orlando"
"783","Cabin","Blue Ridge","US","Beaver Bungalow - Long Range Mountain Views",2,163,FALSE,2023-05-01,2023-05-06,5,77,4.96,"Blue Ridge"
"784","Condo","Destin","US","Sea Squirrel, Beach views in Crystal Beach",1,246,FALSE,2023-05-01,2023-05-06,5,9,4.78,"Destin"
"785","Tiny home","Hillsboro","US","Out of Bounds Tiny Cabin amongst acres of trees",2,170,FALSE,2023-05-01,2023-05-06,5,277,4.95,"Hillsboro"
"786","Apartment","Orlando","US","Newly remodeled! Condo in Center of All The Action",2,100,FALSE,2023-05-01,2023-05-06,5,372,4.49,"Orlando"
"787","Tiny home","Cortez","US","Canyon Hideout Bungalow",1,179,FALSE,2023-05-01,2023-05-06,5,341,5,"Cortez"
"788","Place to stay","Wapwallopen","US","Peaceful, authentic, rustic log cabin in the woods",2,132,FALSE,2023-05-04,2023-05-09,5,106,4.98,"Wapwallopen"
"789","Cottage","Crozet","US","Idyllic Cottage Retreat",2,188,FALSE,2023-05-01,2023-05-06,5,14,4.86,"Crozet"
"790","Cabin","Leicester","US","Cabin Kisa",1,106,FALSE,2023-05-01,2023-05-06,5,7,5,"Leicester"
"791","Cabin","Robbinsville","US","Mountain Dream gorgeous view with hot tub",2,190,FALSE,2023-05-01,2023-05-06,5,591,4.96,"Robbinsville"
"792","Apartment","Kissimmee","US","Special Offer Storey Lake 2Bedr 2Bath Free Waterpark BE307",4,134,FALSE,2023-05-01,2023-05-06,5,73,4.79,"Kissimmee"
"793","Cabin","Leicester","US","Cabin Kisa",1,610,FALSE,2023-05-01,2023-05-06,5,7,5,"Leicester"
"794","Cabin","Robbinsville","US","Mountain Dream gorgeous view with hot tub",2,338,FALSE,2023-05-01,2023-05-06,5,591,4.96,"Robbinsville"
"795","Apartment","Kissimmee","US","Special Offer Storey Lake 2Bedr 2Bath Free Waterpark BE307",4,120,TRUE,2023-05-01,2023-05-06,5,73,4.79,"Kissimmee"
"796","Cabin","Lancing","US","Creekside Cabin at Shady Grove Farm",2,135,FALSE,2023-05-01,2023-05-06,5,476,4.97,"Lancing"
"797","Villa","Las Vegas","US","Vegas Villa-Heated Pool, Indoor Jacuzzi, Billiards",9,218,TRUE,2023-05-01,2023-05-06,5,27,4.93,"Las Vegas"
"798","Villa","Miramar","US","Modern Retreat with King Bed-Heated Pool-and Grill",6,494,FALSE,2023-05-01,2023-05-06,5,33,5,"Miramar"
"799","Apartment","Santa Monica","US","Venice Canals Sanctuary",2,374,FALSE,2023-05-01,2023-05-06,5,107,4.93,"Santa Monica"
"800","Cabin","Sevierville","US","Sugar Bear Hollow",3,219,FALSE,2023-05-01,2023-05-06,5,91,4.96,"Sevierville"
"801","Guesthouse","Phoenix","US","Studio B",2,111,FALSE,2023-05-01,2023-05-06,5,819,4.95,"Phoenix"
"802","Tiny home","Desert Hot Springs","US","Rock Reign Ranch",1,132,FALSE,2023-05-01,2023-05-06,5,12,4.92,"Desert Hot Springs"
"803","Guest suite","Sedona","US","Sedona Sunset Jewel, Amazing Views, Pool",1,209,FALSE,2023-05-01,2023-05-06,5,516,5,"Sedona"
"804","Condo","Kissimmee","US","10 mins to Disney-Hot tub-Queen Puffy Lux bed",3,213,FALSE,2023-05-02,2023-05-07,5,74,4.82,"Kissimmee"
"805","Apartment","Fernandina Beach","US","Largest 1 Bed 2 bath in Amelia Surf Racquet Club",2,306,FALSE,2023-05-01,2023-05-06,5,NA,NA,"Fernandina Beach"
"806","Condo","Panama City Beach","US","300 STEPS TO THE BEACH-BEST 1 BEDROOM DEAL IN TOWN",2,169,FALSE,2023-05-01,2023-05-06,5,57,4.68,"Panama City Beach"
"807","Room","New York","US","Private rooms in a Renovated Manhattan Townhouse",2,259,FALSE,2023-05-01,2023-05-06,5,16,4.94,"New York"
"808","Condo","Miami","US","Luxurious brickell apartment 38thfloor ocean view",2,239,FALSE,2023-05-01,2023-05-06,5,51,4.69,"Miami"
"809","Loft","Chicago","US","Lakeview Loft-Vintage Chicago, Modern Amenities",3,126,FALSE,2023-05-01,2023-05-06,5,343,4.96,"Chicago"
"810","Cottage","Kissimmee","US","JU Super Duper Tiny House, 15 minutes to Disney",3,98,FALSE,2023-05-01,2023-05-06,5,400,4.95,"Kissimmee"
"811","Apartment","Orlando","US","Excellent suite to enjoy near Disney.",2,218,FALSE,2023-05-01,2023-05-06,5,241,4.71,"Orlando"
"812","Condo","Panama City Beach","US","300 STEPS TO THE BEACH-BEST 1 BEDROOM DEAL IN TOWN",2,169,FALSE,2023-05-01,2023-05-06,5,57,4.68,"Panama City Beach"
"813","Room","New York","US","Private rooms in a Renovated Manhattan Townhouse",2,259,FALSE,2023-05-01,2023-05-06,5,16,4.94,"New York"
"814","Condo","Miami","US","Luxurious brickell apartment 38thfloor ocean view",2,239,FALSE,2023-05-01,2023-05-06,5,51,4.69,"Miami"
"815","Loft","Chicago","US","Lakeview Loft-Vintage Chicago, Modern Amenities",3,126,FALSE,2023-05-01,2023-05-06,5,343,4.96,"Chicago"
"816","Cottage","Kissimmee","US","JU Super Duper Tiny House, 15 minutes to Disney",4,98,FALSE,2023-05-01,2023-05-06,5,400,4.95,"Kissimmee"
"817","Home","DeFuniak Springs","US","On Juniper Lake wBoat Dock Near 30A!",4,113,FALSE,2023-05-01,2023-05-06,5,19,4.79,"DeFuniak Springs"
"818","Condo","Hilton Head Island","US","Ocean Front Resort - King bed",1,184,FALSE,2023-05-01,2023-05-06,5,304,4.93,"Hilton Head Island"
"819","Cabin","Forks","US","Cozy riversiderain forest cabin Bogie Bungalow",2,143,FALSE,2023-05-03,2023-05-08,5,949,4.96,"Forks"
"820","Condo","Fort Walton Beach","US","Ft Walton cozy condo w on-site pool. Near beaches",3,145,FALSE,2023-05-01,2023-05-06,5,249,4.73,"Fort Walton Beach"
"821","Apartment","Sarasota","US","Private Bay area home !",3,117,FALSE,2023-05-01,2023-05-06,5,3,4.67,"Sarasota"
"822","Cabin","Kanab","US","Altitude Adjustment",4,208,FALSE,2023-05-10,2023-05-15,5,161,4.98,"Kanab"
"823","Room","Los Angeles","US","Private Room in Elegant French Gothic Home",2,114,FALSE,2023-05-01,2023-05-06,5,843,4.87,"Los Angeles"
"824","Room","Carlisle","US","Stuart Manor Bed and Breakfast",2,223,FALSE,2023-05-01,2023-05-06,5,26,5,"Carlisle"
"825","Condo","Pensacola","US","The Beach Couldn't Be Any Closer!",6,260,FALSE,2023-05-01,2023-05-06,5,145,4.9,"Pensacola"
"826","Apartment","Richmond","US","Point Richmond Top Floor Studio with Bay views",6,153,FALSE,2023-05-01,2023-05-06,5,128,4.95,"Richmond"
"827","Guest suite","Trinidad","US","Cottage by the Sea",6,138,FALSE,2023-05-01,2023-05-06,5,554,4.92,"Trinidad"
"828","Home","Kissimmee","US","House by the Mouse Something for Everyone!",6,250,FALSE,2023-05-19,2023-05-24,5,157,4.89,"Kissimmee"
"829","Apartment","Houston","US","King SuiteSky LoungeLuxurious Experience.",2,148,FALSE,2023-05-01,2023-05-06,5,55,4.85,"Houston"
"830","Cabin","Sevierville","US","Few days left in May",1,112,TRUE,2023-05-01,2023-05-06,5,263,4.98,"Sevierville"
"831","Cabin","Fountain Green","US","Cozy Private Mountain Cabin on 1,000 acre property",4,103,TRUE,2023-05-01,2023-05-06,5,78,4.96,"Fountain Green"
"832","Room","New York","US","Lovely Private Room-Manhattan, 70s-Upper East Side",1,199,FALSE,2023-05-01,2023-05-06,5,30,4.93,"New York"
"833","Cottage","Islamorada","US","1 BD PRIVATE HOUSEBOAT COTTAGE TARPON",3,229,FALSE,2023-05-01,2023-05-06,5,74,4.85,"Islamorada"
"834","Home","Michigan City","US","Sugar Babe Beach Retreat with Hot Tub!",2,160,FALSE,2023-05-01,2023-05-06,5,328,4.95,"Michigan City"
"835","Hotel","Kissimmee","US","Modern room in boutique hotel near amusement parks",2,64,FALSE,2023-05-01,2023-05-06,5,54,4.81,"Kissimmee"
"836","Condo","Mary Esther","US","Kayaks adventure, Dock, Pool, WiFi Courtyard view.",2,112,FALSE,2023-05-01,2023-05-06,5,94,4.72,"Mary Esther"
"837","Apartment","Los Angeles","US","Historic Venice Apt 12 blocks to beachparking",2,222,FALSE,2023-05-01,2023-05-06,5,431,4.94,"Los Angeles"
"838","Guesthouse","Greensboro","US","A charmer!Great spot near downtown.",3,81,FALSE,2023-05-01,2023-05-06,5,990,4.97,"Greensboro"
"839","Apartment","Hallandale Beach","US","Beachfront Apartment",1,170,FALSE,2023-05-01,2023-05-06,5,23,4.43,"Hallandale Beach"
"840","Apartment","Galveston","US","Beach Front Condo In Casa Del Mar",2,122,FALSE,2023-05-01,2023-05-06,5,389,4.72,"Galveston"
"841","Guesthouse","Carrollton","US","The Cooper Cottage Guesthouse",4,91,FALSE,2023-05-01,2023-05-06,5,5,5,"Carrollton"
"842","Cabin","Wofford Heights","US","Tillie Creek Retreat a Creekside Oasis",3,145,FALSE,2023-05-01,2023-05-06,5,312,4.85,"Wofford Heights"
"843","Home","Phoenix","US","New Desert Moon HeartofPhoenix",3,112,FALSE,2023-05-01,2023-05-06,5,9,4.78,"Phoenix"
"844","Cottage","Mackinaw City","US","Private Mackinaw City Beach Cottage Bridge view",1,355,FALSE,2023-05-23,2023-05-28,5,68,4.91,"Mackinaw City"
"845","Guest suite","Cave Creek","US","Room With The Views",3,127,FALSE,2023-05-01,2023-05-06,5,402,4.99,"Cave Creek"
"846","Home","Venice","US","Venice Getaway",3,159,FALSE,2023-05-01,2023-05-06,5,30,5,"Venice"
"847","Cabin","Weaverville","US","Reems Creek Mountain Cabin",2,237,FALSE,2023-05-09,2023-05-14,5,222,5,"Weaverville"
"848","Home","Venice","US","Venice Getaway",3,159,FALSE,2023-05-01,2023-05-06,5,30,5,"Venice"
"849","Condo","Panama City Beach","US","BeachfrontAmazing ViewsWalkable to WalmartShops",4,184,FALSE,2023-05-01,2023-05-07,6,26,4.96,"Panama City Beach"
"850","Condo","Miami","US","Lovely 1 bed condo with poolwifi free parking",2,149,FALSE,2023-05-01,2023-05-06,5,51,4.92,"Miami"
"851","Cabin","Petrolia","US","The Lost Coast Tower, Petrolia",1,225,FALSE,2023-05-01,2023-05-06,5,214,4.92,"Petrolia"
"852","Apartment","New York","US","THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES",2,276,FALSE,2023-05-01,2023-05-06,5,420,4.89,"New York"
"853","Guesthouse","Los Angeles","US","Private Loft In the Hollywood Hills by Universal",1,132,FALSE,2023-05-01,2023-05-06,5,981,4.87,"Los Angeles"
"854","Apartment","New York","US","Location, location, location!",2,260,FALSE,2023-05-01,2023-05-06,5,19,5,"New York"
"855","Guesthouse","Dallas","US","Ravinia Bungalow",1,105,FALSE,2023-05-01,2023-05-06,5,701,4.96,"Dallas"
"856","Home","Holden Beach","US","Egret Beachfront Cottage pet-Friendly",2,248,FALSE,2023-05-04,2023-05-09,5,43,4.93,"Holden Beach"
"857","Cottage","Rockaway Beach","US","Storybook Beach Cottage Twin Rocks",4,144,FALSE,2023-05-01,2023-05-06,5,259,4.88,"Rockaway Beach"
"858","Condo","Siesta Key","US","On the Beach Siesta Key SunBum Studio",2,379,FALSE,2023-05-06,2023-05-11,5,218,4.96,"Siesta Key"
"859","Apartment","Laguna Beach","US","Laguna Beach Charming Unit- LocationValue",3,385,FALSE,2023-05-01,2023-05-06,5,384,4.96,"Laguna Beach"
"860","Villa","Kissimmee","US","Windsor At Westside Avenger Newest PS5 Game room",13,209,FALSE,2023-05-11,2023-05-16,5,12,4.92,"Kissimmee"
"861","Home","Tucson","US","Central House w Pool Hot Tub",2,142,FALSE,2023-05-01,2023-05-06,5,140,4.88,"Tucson"
"862","Apartment","Fort Lauderdale","US","Direct Ocean View from the Balcony",2,219,FALSE,2023-05-01,2023-05-06,5,639,4.83,"Fort Lauderdale"
"863","Home","Terlingua","US","Terlingua Mining Ruin - Lofthouse",1,194,FALSE,2023-05-01,2023-05-06,5,575,4.97,"Terlingua"
"864","Apartment","New York","US","Designer Upper East side apartment Two entrances.",1,242,FALSE,2023-05-01,2023-05-06,5,84,4.99,"New York"
"865","Guesthouse","Naples","US","Waterfront Sea Cottage",1,82,FALSE,2023-05-01,2023-05-06,5,276,4.8,"Naples"
"866","Bungalow","New Smyrna Beach","US","Relaxing Bungalow Steps from the Ocean",2,102,FALSE,2023-05-01,2023-05-06,5,364,4.86,"New Smyrna Beach"
"867","Apartment","Kissimmee","US","Modern Great Villa near Disney Parks",3,103,FALSE,2023-05-01,2023-05-06,5,148,4.87,"Kissimmee"
"868","Cottage","Kissimmee","US","Cozy Private Cottage 5 miles from Disney!",1,100,FALSE,2023-05-01,2023-05-06,5,123,4.92,"Kissimmee"
"869","Room","Brooklyn","US","Private StudioBathBalcony, 15 mins to Manhattan",1,144,FALSE,2023-05-01,2023-05-06,5,269,4.96,"Brooklyn"
"870","Room","Los Angeles","US","Large Master Bedroom w Hollywood sign VIEWS",5,133,FALSE,2023-05-01,2023-05-06,5,325,4.9,"Los Angeles"
"871","Guest suite","Los Angeles","US","Echo Park Retreat with Views",4,116,FALSE,2023-05-01,2023-05-06,5,580,4.94,"Los Angeles"
"872","Home","Huntington Beach","US","Beachfront Oasis",3,798,FALSE,2023-05-06,2023-05-11,5,111,4.99,"Huntington Beach"
"873","Guesthouse","Colorado Springs","US","The Enchanted Cottage at Easy Manor",4,115,FALSE,2023-05-01,2023-05-06,5,170,4.96,"Colorado Springs"
"874","Cabin","Hartsel","US","Sunrise Cabin Balcony Mtn ViewsGrillFirepit",3,113,FALSE,2023-05-11,2023-05-16,5,114,4.98,"Hartsel"
"875","Home","Phoenix","US","Cactus House - private home with pool in Phoenix",3,277,FALSE,2023-05-01,2023-05-08,7,114,4.99,"Phoenix"
"876","Condo","Fort Walton Beach","US","Beautiful Beachfront condo! 2 Bdrm, 2 Bath",1,300,FALSE,2023-05-01,2023-05-06,5,104,4.9,"Fort Walton Beach"
"877","Room","Fairfield","US","""Vacation-Sanctuary Gateway to Napa """,1,114,FALSE,2023-05-01,2023-05-06,5,887,4.97,"Fairfield"
"878","Cabin","Kanab","US","Elevation Celebration",3,225,FALSE,2023-05-01,2023-05-06,5,95,4.97,"Kanab"
"879","Apartment","North Bay Village","US","Waterfront Studio Apartment with FREE Parking",2,160,FALSE,2023-05-01,2023-05-06,5,16,4.63,"North Bay Village"
"880","Home","Dana Point","US","Betty's Beach Bungalow-Pet Friendly! STR21-1232",2,171,FALSE,2023-05-01,2023-05-06,5,478,4.97,"Dana Point"
"881","Home","Los Angeles","US","Casual Colorful Venice House near Canals,Beach Abbot Kinney",2,323,FALSE,2023-05-01,2023-05-06,5,398,4.95,"Los Angeles"
"882","Condo","Miami Beach","US","Beachfront Penthouse studio w pool on Miami Beach",2,181,FALSE,2023-05-01,2023-05-08,7,139,4.85,"Miami Beach"
"883","Dome","El Prado","US","Geodesic Earth Dome",2,161,FALSE,2023-05-01,2023-05-06,5,953,4.9,"El Prado"
"884","Home","Kissimmee","US","7-bedroom vacation home near Disney with poolspa",10,222,FALSE,2023-05-01,2023-05-06,5,174,4.83,"Kissimmee"
"885","Townhouse","Kissimmee","US","Beautiful 4BR TownhouseTownhome close to Disney",5,132,FALSE,2023-05-01,2023-05-07,6,109,4.83,"Kissimmee"
"886","Condo","Saint Petersburg","US","Waterfront condo on top floor Boca Ciega Resort",2,143,FALSE,2023-05-01,2023-05-06,5,360,4.87,"Saint Petersburg"
"887","Townhouse","Destin","US","Scenic Gulf view! Steps to private beach entry!",3,305,FALSE,2023-05-01,2023-05-06,5,41,5,"Destin"
"888","Condo","Fernandina Beach","US","Amelia Island, 2 bedroom beach front condo",2,327,FALSE,2023-05-01,2023-05-06,5,147,4.92,"Fernandina Beach"
"889","Home","Smithville","US","Fishing, Quiet Wifi - 10 acres - Country Getaway",2,117,FALSE,2023-05-01,2023-05-06,5,51,4.98,"Smithville"
"890","Guesthouse","San Diego","US","Cozy guest studio with private deck",1,101,FALSE,2023-05-01,2023-05-06,5,655,4.9,"San Diego"
"891","Cottage","San Diego","US","Fabulous Cottage at the Beach",3,253,FALSE,2023-05-01,2023-05-06,5,215,4.94,"San Diego"
"892","Resort","Panama City Beach","US","Beautiful ocean front condo Panama City Beach",1,143,FALSE,2023-05-01,2023-05-06,5,99,4.78,"Panama City Beach"
"893","Guesthouse","Rolling Hills","US","A view, a pool, and, private cabana sleeps five",4,165,FALSE,2023-05-01,2023-05-06,5,260,4.8,"Rolling Hills"
"894","Home","Tampa","US","The T and C Club",6,247,FALSE,2023-05-01,2023-05-06,5,90,4.97,"Tampa"
"895","Condo","Cocoa Beach","US","Oceanfront Apartment - Cocoa Beach",2,176,FALSE,2023-05-01,2023-05-06,5,53,4.89,"Cocoa Beach"
"896","Apartment","Fort Lauderdale","US","Jr.Suite at Ocean Residences on the Beach",1,260,FALSE,2023-05-01,2023-05-06,5,242,4.9,"Fort Lauderdale"
"897","Cottage","San Diego","US","Charming Cottage at the Beach",3,253,FALSE,2023-05-11,2023-05-16,5,550,4.91,"San Diego"
"898","Condo","Fort Walton Beach","US","PERFECT VIEW!! Waterfront, Marina, and 2 Pools!",2,99,FALSE,2023-05-04,2023-05-09,5,125,4.98,"Fort Walton Beach"
"899","Condo","Las Vegas","US","Breath-taking Strip View on 33rd Flr Luxury Resort",2,118,FALSE,2023-05-01,2023-05-06,5,318,4.73,"Las Vegas"
"900","Apartment","Houston","US","Downtown Suite -PoolWi-Fi SkyView!",2,113,FALSE,2023-05-01,2023-05-06,5,144,4.84,"Houston"
"901","Guest suite","Colorado Springs","US","Cañon Getaway- Cabin inspired home",2,112,FALSE,2023-05-01,2023-05-06,5,460,4.97,"Colorado Springs"
"902","Home","Waxhaw","US","Fox Farms Little House",2,107,FALSE,2023-05-01,2023-05-06,5,430,4.97,"Waxhaw"
"903","Apartment","Miami","US","Retro 1BR Apt 3 Steps from the Water Parking!",2,106,FALSE,2023-05-01,2023-05-06,5,136,4.88,"Miami"
"904","Townhouse","Washington","US","North Capitol Hill Luxury Townhome in Perfect Location",1,135,FALSE,2023-05-01,2023-05-06,5,538,4.81,"Washington"
"905","Room","Naples","US","Sunset Suite The Vanderbilt BoutiqueBnB",2,224,FALSE,2023-05-01,2023-05-06,5,117,4.96,"Naples"
"906","Apartment","Washington","US","3 Foggy BottomGeorgetown Apartment",1,209,FALSE,2023-05-07,2023-05-12,5,473,4.82,"Washington"
"907","Condo","Tybee Island","US","Direct Waterfront.Keyless entry.Dolphin watch.",2,220,FALSE,2023-05-01,2023-05-06,5,279,4.97,"Tybee Island"
"908","Room","Galveston","US","Tropicana Suite-Grand Manor Luxury Mansion Loft",2,104,FALSE,2023-05-01,2023-05-06,5,494,4.86,"Galveston"
"909","Home","Netarts","US","Retro Retreat by the Bay",4,136,FALSE,2023-05-01,2023-05-06,5,201,4.9,"Netarts"
"910","Apartment","Miami Beach","US","Ocean Drive Beach Front Studio",3,153,FALSE,2023-05-01,2023-05-06,5,418,4.56,"Miami Beach"
"911","Home","Cape Coral","US","Coastal Cape Home wHeated Pool-Sleeps 6",1,125,FALSE,2023-05-01,2023-05-06,5,75,4.85,"Cape Coral"
"912","Home","Sedona","US","Local Sedona Humble Home",3,236,FALSE,2023-05-01,2023-05-06,5,107,4.91,"Sedona"
"913","Home","Los Angeles","US","Hollywood paradise studio in house,owned entrance",2,103,FALSE,2023-05-01,2023-05-06,5,367,4.89,"Los Angeles"
"914","Room","Miami","US","Luxe guest suite-perfect Staycation Pool Parking",4,101,FALSE,2023-05-01,2023-05-06,5,651,4.91,"Miami"
"915","Home","The Sea Ranch","US","Casa Del Mar Spectacular Ocean Views!",3,434,FALSE,2023-05-01,2023-05-06,5,148,4.97,"The Sea Ranch"
"916","Apartment","Brooklyn","US","Cozy Garden Apartment",3,117,FALSE,2023-05-01,2023-05-06,5,287,4.93,"Brooklyn"
"917","Cottage","Eastham","US","Classic Cape Cod Cottage",3,143,FALSE,2023-05-01,2023-05-06,5,172,4.92,"Eastham"
"918","Home","Las Vegas","US","Modern 3 bds house with pool in Las Vegas",3,313,FALSE,2023-05-01,2023-05-07,6,10,5,"Las Vegas"
"919","Home","Gulfport","US","Gecko House Unit 1",1,88,FALSE,2023-05-01,2023-05-06,5,113,4.88,"Gulfport"
"920","Apartment","Sunny Isles Beach","US","LOVELY OCEAN VIEW 1BD1.5TH APT HIGH FLOORPARKING",2,148,FALSE,2023-05-04,2023-05-09,5,47,4.85,"Sunny Isles Beach"
"921","Room","New York","US","spacious chelsea room",3,106,FALSE,2023-05-01,2023-05-06,5,127,4.9,"New York"
"922","Guest suite","Naples","US","Tropical Garden Studio Cottage 2 miles to beach",1,119,FALSE,2023-05-01,2023-05-06,5,231,4.97,"Naples"
"923","Guesthouse","Portland","US","Cozy Portland Studio Apartment",2,104,FALSE,2023-05-01,2023-05-06,5,745,4.98,"Portland"
"924","Apartment","Pompano Beach","US","Direct beautiful beach and ocean view",3,173,FALSE,2023-05-01,2023-05-06,5,124,4.93,"Pompano Beach"
"925","Condo","Hollywood","US","Beach paradise. Just minutes to restaurants shops.",4,320,FALSE,2023-05-01,2023-05-06,5,54,4.89,"Hollywood"
"926","Home","Palm Coast","US","Spacious Heated Pool home with poolpingpong table",2,212,FALSE,2023-05-01,2023-05-06,5,138,4.93,"Palm Coast"
"927","Guesthouse","Rockaway Beach","US","The Strand Oceanview Studio - Dog Friendly!",6,121,FALSE,2023-05-01,2023-05-06,5,392,4.85,"Rockaway Beach"
"928","Home","Lehigh Acres","US","Enjoy the most beautiful sunsets by the pool",1,113,FALSE,2023-05-01,2023-05-06,5,42,4.93,"Lehigh Acres"
"929","Apartment","Carmel-by-the-Sea","US","Private romantic 1 br in Carmel Woods- love dogs",2,149,FALSE,2023-05-01,2023-05-06,5,743,4.86,"Carmel-by-the-Sea"
"930","Condo","Sunny Isles Beach","US","SUNNY ISLES GORGEOUS Apart 2210!! hotel fees",3,191,FALSE,2023-05-01,2023-05-06,5,130,4.91,"Sunny Isles Beach"
"931","Cabin","Point Reyes Station","US","Point Reyes Unique Creekside Home with Hot Tub",2,271,FALSE,2023-05-01,2023-05-06,5,601,4.89,"Point Reyes Station"
"932","Cottage","Mount Pleasant","US","Perfect Cottage with Amazing Creek Harbor Views Location",7,321,FALSE,2023-05-01,2023-05-06,5,298,4.99,"Mount Pleasant"
"933","Home","Treasure Island","US","Eiko Beach House 4BR3BA Heatd PoolHot Tub Pets",2,722,FALSE,2023-05-08,2023-05-15,7,108,4.79,"Treasure Island"
"934","Condo","Siesta Key","US","New Cozy 1BR Beach Condo on Siesta Key!!!",5,157,FALSE,2023-05-01,2023-05-06,5,148,4.82,"Siesta Key"
"935","Condo","Anaheim","US","Across the street from DisneyPoolFree Parking",3,342,FALSE,2023-05-01,2023-05-06,5,76,4.99,"Anaheim"
"936","Condo","Sunny Isles Beach","US","BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.",3,151,FALSE,2023-05-01,2023-05-06,5,225,4.57,"Sunny Isles Beach"
"937","Condo","Sunny Isles Beach","US","BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.",3,159,FALSE,2023-05-01,2023-05-06,5,225,4.57,"Sunny Isles Beach"
"938","Condo","Pompano Beach","US","Spacious Studio - 1 minute walk to the beach!",1,115,FALSE,2023-05-01,2023-05-06,5,23,5,"Pompano Beach"
"939","Loft","Brooklyn","US","Authentic Luxury Designed Loft",3,178,FALSE,2023-05-01,2023-05-06,5,253,4.88,"Brooklyn"
"940","Home","Los Angeles","US","Hollywood Sunset Strip Private Executive Hideaway",2,272,FALSE,2023-05-13,2023-05-18,5,99,5,"Los Angeles"
